# x_kpc y_kpc z_kpc flag luminosity_r_mag
1.158203125000000000e+01 -1.375539062500000000e+03 -1.941843750000000000e+03 1.000000000000000000e+00 -1.905355072021484375e+01
-1.199335937500000000e+03 1.314898437500000000e+03 1.314609375000000000e+03 1.000000000000000000e+00 -1.763843536376953125e+01
3.761562500000000000e+02 1.762523437500000000e+03 -1.047453125000000000e+03 1.000000000000000000e+00 -1.869570541381835938e+01
-3.102539062500000000e+02 8.464296875000000000e+02 -1.017234375000000000e+03 1.000000000000000000e+00 -1.917939567565917969e+01
7.752226562500000000e+02 -3.132812500000000000e+00 3.963593750000000000e+02 1.000000000000000000e+00 -1.818004226684570312e+01
4.676953125000000000e+01 9.828281250000000000e+02 -8.724687500000000000e+02 1.000000000000000000e+00 -1.920260238647460938e+01
-5.605273437500000000e+02 1.211484375000000000e+02 -1.426875000000000000e+02 1.000000000000000000e+00 -1.884130096435546875e+01
1.149757812500000000e+03 -3.199140625000000000e+02 -3.855000000000000000e+02 1.000000000000000000e+00 -1.861141014099121094e+01
-1.325359375000000000e+03 9.028125000000000000e+02 -1.564875000000000000e+03 1.000000000000000000e+00 -1.870431900024414062e+01
-1.006636718750000000e+03 1.400703125000000000e+02 -3.856562500000000000e+02 1.000000000000000000e+00 -1.895359611511230469e+01
6.073515625000000000e+02 -1.315132812500000000e+03 -7.086250000000000000e+02 1.000000000000000000e+00 -1.897332191467285156e+01
-9.070195312500000000e+02 -1.021328125000000000e+03 -8.045468750000000000e+02 1.000000000000000000e+00 -1.925357818603515625e+01
-4.241367187500000000e+02 -8.017109375000000000e+02 1.651562500000000000e+02 1.000000000000000000e+00 -1.906910133361816406e+01
-2.469648437500000000e+02 1.489218750000000000e+02 -1.272187500000000000e+02 1.000000000000000000e+00 -1.923399162292480469e+01
-1.833007812500000000e+02 -4.805468750000000000e+01 -4.122031250000000000e+02 1.000000000000000000e+00 -1.918173217773437500e+01
-1.490429687500000000e+02 5.553125000000000000e+01 -1.060468750000000000e+02 1.000000000000000000e+00 -1.914361953735351562e+01
1.819335937500000000e+02 -8.592187500000000000e+01 -1.514765625000000000e+03 1.000000000000000000e+00 -1.841595649719238281e+01
1.273867187500000000e+02 1.277773437500000000e+03 -7.932656250000000000e+02 1.000000000000000000e+00 -1.874122428894042969e+01
4.509531250000000000e+02 1.900078125000000000e+02 -4.410156250000000000e+02 1.000000000000000000e+00 -1.860198783874511719e+01
-3.860937500000000000e+02 -5.703984375000000000e+02 -1.565000000000000000e+03 1.000000000000000000e+00 -1.897816085815429688e+01
-1.248867187500000000e+03 -1.650773437500000000e+03 -1.099109375000000000e+03 1.000000000000000000e+00 -1.897185134887695312e+01
-1.525882812500000000e+03 -1.365570312500000000e+03 -1.238968750000000000e+03 1.000000000000000000e+00 -1.685345268249511719e+01
-2.778320312500000000e+02 -1.012804687500000000e+03 -1.989140625000000000e+03 1.000000000000000000e+00 -1.804413795471191406e+01
1.165421875000000000e+03 -1.297312500000000000e+03 1.003796875000000000e+03 1.000000000000000000e+00 -1.880979347229003906e+01
-1.350820312500000000e+02 -1.435937500000000000e+01 2.738281250000000000e+02 1.000000000000000000e+00 -1.910717201232910156e+01
9.602695312500000000e+02 6.335859375000000000e+02 7.464687500000000000e+02 1.000000000000000000e+00 -1.864123725891113281e+01
3.061367187500000000e+02 4.553828125000000000e+02 -2.717343750000000000e+02 1.000000000000000000e+00 -1.909690475463867188e+01
9.426875000000000000e+02 -1.396023437500000000e+03 -1.480671875000000000e+03 1.000000000000000000e+00 -1.816608619689941406e+01
2.104960937500000000e+02 1.534523437500000000e+03 -1.127656250000000000e+02 1.000000000000000000e+00 -1.880129623413085938e+01
-1.111523437500000000e+02 -1.792968750000000000e+01 -3.211250000000000000e+02 1.000000000000000000e+00 -1.908172225952148438e+01
7.999101562500000000e+02 9.923593750000000000e+02 -1.446171875000000000e+03 1.000000000000000000e+00 -1.824652481079101562e+01
1.748359375000000000e+02 -1.000265625000000000e+03 3.668750000000000000e+01 1.000000000000000000e+00 -1.816749954223632812e+01
-5.506132812500000000e+02 1.920882812500000000e+03 7.995312500000000000e+02 1.000000000000000000e+00 -1.695869445800781250e+01
-8.908203125000000000e+01 -3.213203125000000000e+02 -6.849843750000000000e+02 1.000000000000000000e+00 -1.905063247680664062e+01
3.770703125000000000e+01 7.274218750000000000e+01 8.914062500000000000e+01 1.000000000000000000e+00 -1.907673454284667969e+01
9.456367187500000000e+02 5.176093750000000000e+02 6.754687500000000000e+01 1.000000000000000000e+00 -1.906887626647949219e+01
2.063789062500000000e+02 -1.523898437500000000e+03 6.412500000000000000e+02 1.000000000000000000e+00 -1.763788032531738281e+01
8.171757812500000000e+02 -1.716562500000000000e+02 2.690625000000000000e+01 1.000000000000000000e+00 -1.881565093994140625e+01
-5.320390625000000000e+02 -1.120843750000000000e+03 -5.004687500000000000e+01 1.000000000000000000e+00 -1.774629592895507812e+01
-2.898281250000000000e+02 2.834062500000000000e+02 -6.113906250000000000e+02 1.000000000000000000e+00 -1.901632881164550781e+01
