id 	,numSat 	,sumFlags 	,mass 	,centralMass 	,centralFlag 	,centralRband 	,firstSatMass 	,firstSatFlag 	,firstSatRband 
11186149 	,361 	,361 	,9.00e+14 	,5.94e+12 	,True 	,-2.6e+01 	,8.25e+11 	,True 	,-2.4e+01 
11186150 	,40 	,40 	,1.83e+14 	,3.55e+12 	,True 	,-2.5e+01 	,3.45e+11 	,True 	,-2.3e+01 
11186153 	,14 	,14 	,1.74e+14 	,4.09e+12 	,True 	,-2.6e+01 	,9.09e+10 	,True 	,-2.1e+01 
11186157 	,12 	,12 	,1.20e+14 	,3.25e+12 	,True 	,-2.6e+01 	,1.27e+11 	,True 	,-2.2e+01 
11247535 	,307 	,307 	,9.02e+14 	,5.35e+12 	,True 	,-2.6e+01 	,2.64e+11 	,True 	,-2.3e+01 
11247536 	,42 	,42 	,3.42e+14 	,5.81e+12 	,True 	,-2.6e+01 	,1.70e+11 	,True 	,-2.2e+01 
11247537 	,15 	,15 	,7.62e+14 	,4.35e+12 	,True 	,-2.6e+01 	,6.19e+12 	,True 	,-2.6e+01 
11247539 	,13 	,13 	,1.06e+14 	,2.66e+12 	,True 	,-2.5e+01 	,1.29e+11 	,True 	,-2.2e+01 
11247550 	,4 	,4 	,2.35e+14 	,4.83e+11 	,True 	,-2.5e+01 	,2.23e+12 	,True 	,-2.5e+01 
11247554 	,5 	,5 	,1.52e+14 	,2.17e+12 	,True 	,-2.6e+01 	,5.08e+09 	,True 	,-1.9e+01 
11318647 	,281 	,281 	,9.52e+14 	,6.37e+12 	,True 	,-2.6e+01 	,1.55e+12 	,True 	,-2.5e+01 
11375025 	,299 	,299 	,8.71e+14 	,5.18e+12 	,True 	,-2.6e+01 	,1.16e+12 	,True 	,-2.4e+01 
11375033 	,7 	,7 	,5.61e+14 	,8.41e+12 	,True 	,-2.6e+01 	,5.49e+10 	,True 	,-2.1e+01 
11433807 	,399 	,399 	,1.01e+15 	,5.82e+12 	,True 	,-2.7e+01 	,5.11e+11 	,True 	,-2.3e+01 
11433811 	,12 	,12 	,1.38e+14 	,2.61e+12 	,True 	,-2.5e+01 	,1.26e+12 	,True 	,-2.5e+01 
11484512 	,303 	,303 	,7.32e+14 	,4.34e+12 	,True 	,-2.6e+01 	,1.90e+11 	,True 	,-2.2e+01 
1263653 	,728 	,728 	,2.17e+15 	,1.17e+13 	,True 	,-2.7e+01 	,2.81e+12 	,True 	,-2.5e+01 
11484513 	,30 	,30 	,1.14e+14 	,2.36e+12 	,True 	,-2.5e+01 	,1.20e+11 	,True 	,-2.2e+01 
