group id	id	x	y	z	g	r
1553	824814	6.359375	57.09375	285.34765625	-19.067398071289062	-18.404876708984375
1553	824815	42.546875	9.828125	52.86328125	-20.28278923034668	-19.42544937133789
1553	824816	-471.171875	-49.859375	82.92578125	-18.939212799072266	-18.370502471923828
1553	824817	-271.75	-231.25	-81.6640625	-20.05093002319336	-19.162555694580078
1553	824818	128.5	-96.765625	-24.91796875	-17.973011016845703	-17.31635093688965
1553	824820	34.6875	93.84375	-56.59375	-17.79830551147461	-17.031328201293945
1554	825042	0.0	0.0	0.0	-23.34623146057129	-22.48430633544922
1554	825043	35.921875	-66.7109375	68.359375	-21.500593185424805	-20.636621475219727
1554	825206	-440.359375	-216.8828125	-183.28125	-15.927695274353027	-15.845602035522461
1554	825069	566.265625	78.8359375	204.375	-15.708283424377441	-15.048662185668945
1554	825044	-123.453125	-427.328125	284.796875	-20.147884368896484	-19.312007904052734
1554	825045	-55.96875	-85.3828125	74.875	-20.59555435180664	-19.991056442260742
1554	825096	-88.78125	49.71875	100.921875	-15.870044708251953	-15.128814697265625
1554	825046	-437.578125	-225.4140625	-179.40625	-16.53801155090332	-16.304031372070312
1554	825047	398.0	-33.7265625	240.359375	-19.740402221679688	-18.936084747314453
1554	825050	22.9375	98.8671875	-78.796875	-19.44736099243164	-18.614749908447266
1554	825056	126.78125	194.71875	-86.390625	-16.886581420898438	-16.1883602142334
1555	825229	0.0	0.0	0.0	-22.171859741210938	-21.320096969604492
1555	825231	-46.7109375	-294.265625	-57.21875	-21.243406295776367	-20.41448402404785
1555	825257	-86.0859375	82.28125	-56.25	-16.663570404052734	-16.01538848876953
1555	825261	15.6171875	99.0625	74.4375	-17.22975730895996	-16.538654327392578
1555	825233	-21.078125	83.375	5.78125	-21.323535919189453	-20.57924461364746
1555	825238	-464.65625	42.9375	49.4375	-18.130006790161133	-17.55467414855957
1555	825239	92.765625	151.0625	149.890625	-17.571435928344727	-17.08966636657715
1555	825240	-98.1484375	96.96875	12.0	-19.683773040771484	-18.8747615814209
1555	825241	352.5078125	-13.578125	-191.46875	-16.371217727661133	-15.960420608520508
1555	825245	8.2421875	78.875	49.921875	-18.58966636657715	-18.123069763183594
1556	825429	0.0	0.0	0.0	-22.470844268798828	-21.61782455444336
1556	825432	140.75	-71.6640625	-98.921875	-21.20967674255371	-20.376815795898438
1556	825444	-73.5	24.589599609375	-98.703125	-18.68478775024414	-17.912471771240234
1556	825445	-486.375	-64.486572265625	-166.0	-16.24355125427246	-15.586678504943848
1556	825448	451.8125	-292.22265625	4.3125	-16.97735023498535	-16.24967384338379
1556	825452	83.03125	-98.400634765625	167.5625	-17.273195266723633	-16.603878021240234
1556	825453	221.78125	361.295654296875	54.78125	-17.079978942871094	-16.489620208740234
1556	825457	92.28125	45.59130859375	-91.15625	-18.451242446899414	-17.637710571289062
1556	825459	129.3125	-80.561279296875	13.625	-17.342851638793945	-16.63774871826172
1556	825433	96.5625	8.357421875	-21.484375	-21.25071144104004	-20.430694580078125
1556	825463	-228.3125	1.0283203125	-12.328125	-16.126832962036133	-15.498411178588867
1556	825466	-46.53125	-15.1845703125	14.9375	-17.903432846069336	-17.123239517211914
1556	825434	62.65625	91.78564453125	283.140625	-20.379316329956055	-19.734880447387695
1556	825496	26.0625	82.030517578125	19.53125	-16.68693733215332	-15.901081085205078
1556	825435	-19.96875	-137.875732421875	-530.8125	-19.960908889770508	-19.211339950561523
1556	825436	52.84375	-21.57763671875	-36.765625	-21.219514846801758	-20.37748146057129
1556	825438	-51.0625	74.11474609375	37.828125	-20.6125431060791	-19.786985397338867
1556	825440	234.125	-89.097900390625	-53.296875	-18.516080856323242	-18.130279541015625
1556	825441	-20.9375	-217.7490234375	-40.59375	-18.31968116760254	-17.809194564819336
1556	825442	-351.25	103.074951171875	-30.515625	-18.959293365478516	-18.28123664855957
1557	825670	0.0	0.0	0.0	-22.154048919677734	-21.401865005493164
1557	825671	-91.15625	41.9765625	-10.1630859375	-22.1922550201416	-21.439863204956055
1557	825682	-1.859375	-266.7265625	263.5185546875	-18.118362426757812	-17.648820877075195
1557	825683	-154.453125	-100.5703125	-38.7958984375	-18.38640785217285	-17.81983757019043
1557	825684	-366.203125	65.1953125	-29.947265625	-18.724706649780273	-18.23444175720215
1557	825686	-56.703125	78.9921875	-99.5	-18.78960418701172	-18.073505401611328
1557	825687	-182.09375	-23.875	8.658203125	-17.669395446777344	-17.052701950073242
1557	825688	7.8125	-96.59375	-25.484375	-17.97791290283203	-17.249244689941406
1557	825690	-287.640625	81.2734375	-7.845703125	-16.881738662719727	-16.269515991210938
1557	825691	-38.921875	20.8359375	-63.70703125	-16.01698112487793	-15.395392417907715
1557	825672	-94.203125	-72.96875	53.2568359375	-21.757600784301758	-20.93063735961914
1557	825694	-66.234375	143.5078125	93.9365234375	-16.12044906616211	-15.494436264038086
1557	825706	50.140625	101.4296875	-540.5791015625	-16.91604232788086	-16.246543884277344
1557	825708	-72.65625	-17.3828125	106.1376953125	-15.942778587341309	-15.32007884979248
1557	825673	25.453125	34.2890625	57.9541015625	-21.697887420654297	-20.85057258605957
1557	825712	-121.453125	-30.6796875	-43.763671875	-17.209566116333008	-16.710464477539062
1557	825714	74.484375	-24.5078125	366.6220703125	-17.239850997924805	-16.4800968170166
1557	825722	14.484375	96.359375	-87.0361328125	-15.75706672668457	-15.146320343017578
1557	825674	-60.0625	-143.296875	-300.197265625	-20.899656295776367	-20.108238220214844
1557	825675	46.9375	-51.75	165.7275390625	-20.65462303161621	-20.139101028442383
1557	825677	-101.90625	54.21875	-42.1552734375	-18.789304733276367	-18.366943359375
1557	825678	-80.46875	-56.3046875	111.548828125	-19.038734436035156	-18.240053176879883
1557	825679	222.015625	-91.4921875	-201.421875	-18.02708625793457	-17.53714370727539
1557	825680	57.515625	-175.4453125	-439.61376953125	-19.34226417541504	-18.59438133239746
1558	825851	0.0	0.0	0.0	-21.57048797607422	-20.725051879882812
1558	825854	26.1015625	-114.359375	-14.9765625	-21.688756942749023	-20.865114212036133
1558	825869	17.3359375	-8.109375	84.921875	-19.152027130126953	-18.66887664794922
1558	825871	523.25	-69.9375	100.515625	-17.39362335205078	-17.037372589111328
1558	825873	54.453125	-206.578125	99.421875	-16.937746047973633	-16.346599578857422
1558	825874	52.8671875	9.109375	54.1796875	-18.061866760253906	-17.452526092529297
1558	825875	-279.296875	-133.0	-31.2734375	-17.64507293701172	-17.04210662841797
1558	825880	9.4921875	-265.921875	-17.09375	-15.689152717590332	-15.070113182067871
1558	825881	22.0234375	-204.890625	-69.3671875	-15.813422203063965	-15.192237854003906
1558	825883	-66.71875	-8.765625	-94.625	-17.57082748413086	-16.840736389160156
1558	825857	-89.125	-57.265625	-43.3828125	-21.211191177368164	-20.654094696044922
1558	825859	226.546875	-14.578125	8.6484375	-20.937292098999023	-20.204296112060547
1558	825861	94.8359375	66.859375	-51.8359375	-20.830089569091797	-20.021474838256836
1558	825862	-24.8828125	59.1875	-129.5234375	-20.076143264770508	-19.656057357788086
1558	825863	-66.953125	-71.203125	-60.2421875	-19.84923553466797	-19.284912109375
1558	825864	238.9140625	16.8125	-61.5703125	-20.15848731994629	-19.456052780151367
1558	825866	59.0625	-9.40625	-36.1640625	-20.132160186767578	-19.356576919555664
1558	825867	189.765625	309.6875	47.125	-17.65492820739746	-17.346420288085938
1559	826077	0.0	0.0	0.0	-22.507993698120117	-21.678543090820312
1559	826079	102.265625	104.75	26.421875	-21.244556427001953	-20.400148391723633
